test_name,total_runs,passed,failed,label
Serilog.Tests.Capturing.PropertyValueConverterTests.ByteSpansAreConvertedToTheSameStringsAsArrays(length: 10000),100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: ""Root"", rootOverrideLevelIncrement: 1, childOverrideSource: null, childOverrideLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Settings.SettingValueConversionsTests.StaticMembersAccessorsCanBeUsedForReferenceTypes(input: ""Serilog.Tests.Support.ClassWithStaticAccessors::Ab""···, targetType: typeof(Serilog.Tests.Support.AnAbstractClass))",100,100,0,stable
Serilog.Tests.Settings.KeyValuePairSettingsTests.LoggingLevelSwitchIsConfigured,100,100,0,stable
Serilog.Tests.MethodOverloadConventionTests.ValidateWriteEventLogMethods(loggerType: typeof(Serilog.ILogger)),100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Warning, rootMinimumLevelIncrement: 1, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: null, rootOverrideLevelIncrement: 1, childOverrideSource: ""Root.N1.xx"", childOverrideLevelIncrement: 1, eventShouldGetToChild: True)",100,100,0,stable
"Serilog.Tests.Settings.KeyValuePairSettingsTests.LoggingLevelSwitchNameValidityScenarios(switchName: ""switch$name"", expectedValid: False)",100,100,0,stable
Serilog.Tests.Parsing.MessageTemplateParserTests.FormatsCanContainSymbolsAndOperators,100,100,0,stable
Serilog.Tests.Core.ChildLoggerKnownLimitationsTests.SpecifyingMinimumLevelOverridesInWriteToLoggerWritesWarningToSelfLog,100,100,0,stable
Serilog.Tests.Capturing.PropertyValueConverterTests.UnderDestructuringAnIntegerArrayIsASequenceValue,100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.AppliesLiteralFormattingToMessageStringsWhenSpecified(format: "":jl"", expected: ""Hello, World!"")",100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.ILoggerDefaultMethodsShouldBeInSyncWithLogger(defaultInterfaceMethod: Void Fatal(System.Exception, System.String, System.Object[]))",100,100,0,stable
Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.LowercaseFormatSpecifierIsSupportedForStrings,100,100,0,stable
Serilog.Tests.Settings.CallableConfigurationMethodFinderTests.FindsFilterSpecificConfigurationMethods,100,100,0,stable
Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.UtcTimestampOutputsCorrectValue,100,100,0,stable
Serilog.Tests.Filters.MatchingTests.EventsCanBeExcludedByPredicate,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Error, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelInheritanceScenarios(eventLevel: Information, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 1, childMinimumLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
Serilog.Tests.Capturing.PropertyValueConverterTests.ByteArraysAreConvertedToStrings,100,100,0,stable
"Serilog.Tests.Core.LevelOverrideMapTests.OverrideScenarios(context: ""serilog"", overrideExpected: False, expected: Verbose)",100,100,0,stable
Serilog.Tests.Core.LoggerTests.MessageTemplatesCanBeBound(loggerType: typeof(Serilog.Core.Logger)),100,100,0,stable
"Serilog.Tests.Core.ChildLoggerKnownLimitationsTests.WriteToLoggerMinimumLevelOverrideInheritanceNotSupportedScenarios(rootOverrideSource: null, rootOverrideLevelIncrement: 0, childOverrideSource: ""Root.N1.N2"", childOverrideLevelIncrement: 1)",100,100,0,stable
"Serilog.Tests.Core.MessageTemplateTests.AlignmentStringsArePropagated(value: ""Welcome, customer #{CustomerId,10:0,0}, pleasure t""···, expected: ""Welcome, customer #     1,234, pleasure to see you"")",100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.MaximumCollectionCountNotEffectiveForArrayAsLongAsLimit,100,100,0,stable
Serilog.Tests.Context.LogContextTests.PushedArrayPropertiesAreAvailableToLoggers,100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.SilentLoggerValidateConventions(setName: ""Verbose"")",100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.FixedLengthLevelIsSupported(level: Verbose, width: 2, expected: ""Vb"")",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelInheritanceScenarios(eventLevel: Verbose, rootMinimumLevelIncrement: null, sinkRestrictedToIncrement: null, childMinimumLevelIncrement: null, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelInheritanceScenarios(eventLevel: Warning, rootMinimumLevelIncrement: 1, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.FixedLengthLevelIsSupported(level: Warning, width: 6, expected: ""Warnin"")",100,100,0,stable
"Serilog.Tests.Rendering.ReusableStringWriterTests.OnlyBelowMaximumCapacityStringBuilderIsReused(capacity: 32767, expectReuse: True)",100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.AppliesLiteralFormattingToMessageStringsWhenSpecified(format: "":lj"", expected: ""Hello, World!"")",100,100,0,stable
Serilog.Tests.Debugging.SelfLogTests.SelfLogDoesNotReportErrorWhenPositionalParameterIsRepeated,100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.MaximumStringCollectionThrowsForLimitLowerThan1,100,100,0,stable
Serilog.Tests.MethodOverloadConventionTests.ILoggerDefaultMethodsShouldBeInSyncWithLogger(defaultInterfaceMethod: Void Debug(System.String)),100,100,0,stable
Serilog.Tests.Settings.KeyValuePairSettingsTests.DestructuringToMaximumDepthIsApplied,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelInheritanceScenarios(eventLevel: Verbose, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Debug, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
Serilog.Tests.Formatting.Json.JsonValueFormatterTests.GuidFormatsAsString,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Fatal, rootOverrideSource: ""Root"", rootOverrideLevelIncrement: -1, childOverrideSource: null, childOverrideLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
Serilog.Tests.Core.LoggerTests.LoggingLevelSwitchDynamicallyChangesLevel(loggerType: typeof(Serilog.Core.Logger)),100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Information, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 1, eventShouldGetToChild: False)",100,100,0,stable
Serilog.Tests.Core.ChildLoggerDisposalTests.WhenExplicitlyConfiguredChildLoggerShouldBeAsyncDisposedAccordingToConfiguration(attemptDispose: True),100,100,0,stable
Serilog.Tests.Formatting.Json.JsonValueFormatterTests.TimeOnly,100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.ILoggerDefaultMethodsShouldBeInSyncWithLogger(defaultInterfaceMethod: Void Verbose[T0,T1,T2](System.String, T0, T1, T2))",100,100,0,stable
Serilog.Tests.Parsing.MessageTemplateParserTests.PropertiesCanHaveRightAlignment,100,100,0,stable
Serilog.Core.Tests.BatchingSinkTests.WhenAnEventIsEnqueuedItIsWrittenToABatchOnTimer,100,100,0,stable
Serilog.Tests.Core.LoggerTests.WrappedSinksAreDisposedWhenLoggerIsDisposedAsync,100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.ILoggerDefaultMethodsShouldBeInSyncWithLogger(defaultInterfaceMethod: Void Fatal[T0,T1,T2](System.Exception, System.String, T0, T1, T2))",100,100,0,stable
Serilog.Tests.Settings.KeyValuePairSettingsTests.LoggingLevelSwitchCanBeUsedForMinimumLevelOverrides,100,100,0,stable
Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.DefaultLevelLengthIsFullText,100,100,0,stable
