test_name,total_runs,passed,failed,label
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.CombineEnumerables(oldValue: [""1"", ""2"", ""3""], newValue: [""2"", ""3"", ""4""], expected: [""1"", ""2"", ""2"", ""3"", ""3"", ···])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest.GetHostnameFromDockerImage(dockerImageName: ""baz/foo/bar:latest"", hostname: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest.GetHostnameFromDockerImage(dockerImageName: ""baz/foo/bar"", hostname: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerCertPathCustomConfiguration(configuration: ""docker.cert.path="", expected: null)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.GuardTest+StringPreconditions+DoNotThrowException.IfNotEmpty,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerImageNameSubstitutionTest+HubImageNamePrefixIsSet.PrependForStringConfiguration(hubImageNamePrefix: ""my.proxy.com:443"", imageName: ""foo/bar:1.0.0"", expectedFullName: ""my.proxy.com:443/foo/bar:1.0.0"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerConfigCustomConfiguration(propertyName: ""DOCKER_CONFIG"", propertyValue: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerCertPathCustomConfiguration(propertyName: ""DOCKER_CERT_PATH"", propertyValue: ""/home/docker/.docker/certs"", expected: ""/home/docker/.docker/certs"")",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.DockerConfigTests+DockerContextConfigurationTests.ReturnsDefaultEndpointWhenDockerContextIsDefault,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerTlsVerifyCustomConfiguration(propertyName: ""DOCKER_TLS_VERIFY"", propertyValue: ""0"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.Platform_PlatformSpecified_ReturnsPlatform(platform: ""linux/arm/v6"")",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersContainerTest+WithConfiguration.BindMountAndEnvironment,100,100,0,stable
DotNet.Testcontainers.Tests.Unit.GetContainerLogsTest.GetLogsShouldBeEmptyWhenSinceIsOutOfDateRage,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerConfigCustomConfiguration(configuration: ""docker.config="", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.ShouldThrowArgumentExceptionIfImageNameHasUppercaseCharacters(image: ""Bar:latest"")",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.ComposableDictionaryHandlesNullDictionary,100,100,0,stable
